id,class,tweet
1314808033466372096,1,"Θυμάστε πριν χρόνια που κοιμόμασταν με ανοιχτά παράθυρα επειδή νιώθαμε ασφαλείς; Τώρα που καταδικάστηκε η χρυσή αυ… https://t.co/TbHKR7y94K"
1367965205372755971,0,"Για να καταλάβουμε, η @MarianaPirgioti συμφωνεί με αποτέλεσμα πολ που είναι υπέρ του θανάτου του Κουφοντινα αλλά σο… https://t.co/28arSazTPb"
1313319807945773056,0,@NIKSOTIROPOYLOS Λες να ψηφίζει Πολακη;
1311644769584664578,0,So the cage has finally open. https://t.co/de26Xu1KL4
1316350624544559104,0,"@KwstasMAIDEN Για 5 κιλά χόρτο ισόβια για φόνους αλλοδαπών και αντιφασιστών 13 χρόνια... Δικαιοσύνη στις δόξες τις !"
1368619912273555460,0,Ο κόσμος σάς ευχαριστεί για τη δροσερή πνοή δημοκρατίας. @PrimeministerGR
1367498751988924426,0,Το πιο ανήθικο από όλα όμως είναι αυτό που έχει συμβεί με τους ρουσφετολογικούς εμβολιασμούς. Με αποκορύφωμα το πρό… https://t.co/KWx0yLWFoj
1146869722467770368,0,"Την Κυριακή με την ψήφο μας, υπογράφουμε μια νέα συμφωνία: Συμφωνία Αλήθειας, Ενότητας, Προόδου! Με Ισχυρή Ανάπτυξη… https://t.co/pmGOYOu3sT"
1315964379070955520,0,"Ο Πατήρ επικράτησε του Υιού με 70-30. Ευχαριστώ για την συμμετοχή σας. https://t.co/vTI9QsU8ZJ"
1312991363538071553,0,@andypapp @sam_spade23 Αυτό που προσπαθώ να σου πω είναι ότι αυτό το κράτος ΔΕ ΘΕΛΕΙ να σωθεί
1369934582800388098,0,Εσείς σήμερα καλυβεστε ή θα μείνετε ξεκαλυβωτοι;
1350695624757403650,0,Περιμένω. https://t.co/lTdGwzS92r
1181915210162020352,0,Κατατίθεται στη Βουλή ο αντικαπνιστικός νόμος. Ένα στοίχημα που πρέπει να κερδηθεί σε συμμαχία με όλους τους πολίτε… https://t.co/9wCkcyH9vn
1315301068998422528,0,"Κακώς συντηρείτε τον ιδεολογικό διχασμό κ. Υπουργέ, τέτοιου είδους συμπεριφορές δεν έχουν αριστερό/δεξί πρόσημο. Εδ… https://t.co/gE76RYtmPu"
1317487097008226304,0,@silaserafim Δε βοηθάς για το αφήγημα...
1370005843115134977,0,Στον Καμπαγιάννη ρε αχαχαχαχαχα
1369654482196369409,0,"Κοίτα που ο Άδωνις είχε την αίσθηση ότι με το να απαγορεύσει τα πάντα στον Έλληνα, μπορεί να περάσει ο,τι κατάπτυστ… https://t.co/zkT86lMw85"
1312277227116081152,1,"@palimetakis @CeliaSanchez_gr @g_kamma Πάμε να το ξαναδιατυπώσουμε σωστά: 1. Κανένα παιδί δεν είναι λαθραίο όταν το… https://t.co/b9oUSNg8ic"
1314913862479753219,1,"@NOTMIATALL @jedijig 1000 χρόνια οι γύφτοι στην Ελλάδα, δεν λύθηκαν τα προβλήματα. Η μόνη λύση μέχρι σήμερα ήταν ν… https://t.co/Jv0j3GN0mO"
1313755385430511618,1,"3️⃣ Αριστεροί και δεξιοί, ενώνουν τις δυνάμεις τους για κάθε αντιεθνικό μέτρο, για κάθε βρώμικη δουλειά.
1369340510498918412,0,https://t.co/rTEci4P7YL
1319193289883516957,1,@stef_lamprou @commonsense491 Γιατί; Δολοφονήθηκαν πολλοί πούστηδες; Δεν είμαστε μουσουλμανική χώρα όπου όντως δολοφονούνται.
1313394674783092736,1,"@GnDimitris @touztouz7 Απ' την πολύ προκριματική φαπα, δ ξέρεις ούτε τι διαβάζεις. Σπάσε βρώμας γύφτο"
1315413060157353985,0,Ήρθε να μου κάνει παρέα στη δουλειά https://t.co/OaAv4ERWiS
1196836937937694720,0,"Κατοχυρώνουμε συνταγματικά το ελάχιστο εγγυημένο εισόδημα, δηλαδή το δίχτυ ασφαλείας για τους πιο αδύναμους. Το ελλ… https://t.co/NxqhtPegGE"
1350155412801253378,0,5) Οι διακρίσεις αυτές είναι σημαντικές νομικές διακρίσεις. Δεν είναι «παιχνίδια με τις λέξεις». Και το Σύνταγμα κα… https://t.co/BQQX7zLjAz
1315432619950125056,1,"Ναι βέβαια, Πακιστάν, Αφγανιστάν, Μπαγκλαντές, είναι γνωστές ποδοσφαιρομάνες. Α, και η Βραζιλία μαραζώνει ποδοσφαιρ… https://t.co/hhRUuYFJkc"
1314993078806159362,1,@Greg59583876 @The_Republican Οι γύφτοι ειναι πακιστανικης/ινδικης καταγωγης. Φυσικά υπάρχουν και οι τουρκόγυφτοι..
1351859692407042048,0,"Και τελικά η «προδοτική Συμφωνία των Πρεσπών» έγινε τώρα τόσο επωφελής για τα συμφέροντα της χώρας, ώστε να απαιτεί… https://t.co/6DwOHNmM5v"
1146350381397684225,0,Δίνουμε ιδιαίτερη βαρύτητα στους χαμηλόμισθους και θέλουμε ο κατώτατος μισθός να αυξάνεται με ρυθμό διπλάσιο της αύ… https://t.co/GudJI0Z4Ec
1366335511875489796,0,Θενκς @stavroulaber. Μαζεμένα όμορφα ❤️ όπως κάθε φορά :)
1316002416626671619,1,"@JDOoivOnVqZxwOX @ploutarx Γιατι ειναι Πακιστανός ξερω γω, τι να γράψει Ελληνας αφου Πακιστανός ειναι."
1368152918474563587,0,"Όταν όλα στη χώρα δικαιολογουνται επειδή ""η δημοσκόπηση εδειξε"", τότε να περιμένετε ότι θα φάτε πουτσα με πολλά λάικ."
1368618951320698881,0,«Ο ΚΟΣΜΟΣ ΧΕΙΡΟΚΡΟΤΑ ΤΗΝ ΑΣΤΥΝΟΜΙΑ ΣΤΙΣ ΓΕΙΤΟΝΙΕΣ» https://t.co/cJyywcd3uG
