id,class,tweet,preprocessed_tweet
1314808033466372096,1,"""Θυμάστε πριν χρόνια που κοιμόμασταν με ανοιχτά παράθυρα επειδή νιώθαμε ασφαλείς; Τώρα που καταδικάστηκε η χρυσή αυ… https://t.co/TbHKR7y94K""",θυμάστε πριν χρόνια που κοιμόμασταν με ανοιχτά παράθυρα επειδή νιώθαμε ασφαλείς τώρα που καταδικάστηκε χρυσή αυ…
1367965205372755971,0,"""Για να καταλάβουμε, η @MarianaPirgioti συμφωνεί με αποτέλεσμα πολ που είναι υπέρ του θανάτου του Κουφοντινα αλλά σο… https://t.co/28arSazTPb""",για να καταλάβουμε συμφωνεί με αποτέλεσμα πολ που είναι υπέρ του θανάτου του κουφοντινα αλλά σο…
1313319807945773056,0,@NIKSOTIROPOYLOS Λες να ψηφίζει Πολακη;,λες να ψηφίζει πολακη
1311644769584664578,0,So the cage has finally open. https://t.co/de26Xu1KL4,so the cage has finally open
1316350624544559104,0,"""@KwstasMAIDEN Για 5 κιλά χόρτο ισόβια για φόνους αλλοδαπών και αντιφασιστών 13 χρόνια... Δικαιοσύνη στις δόξες τις !""",για κιλά χόρτο ισόβια για φόνους αλλοδαπών και αντιφασιστών χρόνια δικαιοσύνη στις δόξες τις
1368619912273555460,0,Ο κόσμος σάς ευχαριστεί για τη δροσερή πνοή δημοκρατίας. @PrimeministerGR,κόσμος σάς ευχαριστεί για τη δροσερή πνοή δημοκρατίας
1367498751988924426,0,Το πιο ανήθικο από όλα όμως είναι αυτό που έχει συμβεί με τους ρουσφετολογικούς εμβολιασμούς. Με αποκορύφωμα το πρό… https://t.co/KWx0yLWFoj,το πιο ανήθικο από όλα όμως είναι αυτό που έχει συμβεί με τους ρουσφετολογικούς εμβολιασμούς με αποκορύφωμα το πρό…
1146869722467770368,0,"""Την Κυριακή με την ψήφο μας, υπογράφουμε μια νέα συμφωνία: Συμφωνία Αλήθειας, Ενότητας, Προόδου! Με Ισχυρή Ανάπτυξη… https://t.co/pmGOYOu3sT""",την κυριακή με την ψήφο μας υπογράφουμε μια νέα συμφωνία συμφωνία αλήθειας ενότητας προόδου με ισχυρή ανάπτυξη…
1315964379070955520,0,"""Ο Πατήρ επικράτησε του Υιού με 70-30. Ευχαριστώ για την συμμετοχή σας. https://t.co/vTI9QsU8ZJ""",πατήρ επικράτησε του υιού με ευχαριστώ για την συμμετοχή σας
1312991363538071553,0,@andypapp @sam_spade23 Αυτό που προσπαθώ να σου πω είναι ότι αυτό το κράτος ΔΕ ΘΕΛΕΙ να σωθεί,αυτό που προσπαθώ να σου πω είναι ότι αυτό το κράτος δε θελει να σωθεί
